id,item,amount,unit,calories,protein,carbohydrate,fat
1,Grilled Chicken,4,Oz,240,25,1,5
2,Greek Tilapia,1,Piece,171,21,2,8
3,Tex Rice,0.5,Cups,131,3,26,2
4,Baby Cooked Carrots,0.5,Cups,46,0,11,0
5,Parmesan Chicken,1,Piece,141,13,0,7
6,Spicy Black Bean Burger,1,Piece,160,15,18,5
7,Salmon Burger,1,Piece,171,16,9,8
8,White Rice (Steamed),1,Cup,199,4,45,0
9,Garlic Grilled Chicken Breast,4,Oz,249,33,1,10
10,Watermelon,100,Grams,30,1,8,0
11,Grilled Fish,1,Piece,120,22,1,3
12,Egg White,100,Grams,50,18,1,1
13,Brown Rice,0.5,Cups,125,3,26,1
14,Chicken Stew,0.5,Cups,210,18,6,13
15,Honey Chicken Drumstick,1,Piece,220,22,6,12
16,Greek Omelet,1,Piece,220,8,3,20
17,Mango Shake (no sugar added),1,Cup,100,7,13,0
18,Stir Fry Vegetables,0.5,Cups,61,2,8,2
19,Skimmed Milk Yogurt,1,Cup,80,10,14,0
20,Shawarma Chicken,4,Oz,255,26,5,14
21,Mexican Rice,0.5,Cups,165,4,32,3
22,Peas,0.5,Cups,53,4,9,0
23,Whole Green Beans,0.5,Cups,40,2,8,0
24,Almonds,1,Cup,163,6,6,14
25,Broccoli,1,Cup,31,3,6,0
26,Cajun Tilapia,1,Piece,105,17,1,5
27,Mixed Vegetables,0.5,Cups,57,3,11,1
28,Cod Florentine,1,Piece,70,2,4,4
29,Pangasius,1,Piece,153,15,6,8
30,Quinoa,0.5,Cups,162,6,22,5
31,Lemon Butter Tilapia,1,Piece,149,17,2,9
32,BBQ Grilled Chicken,1,Piece,215,21,0,14
33,Quest Bar,1,Piece,190,20,21,9
34,Spinach,1,Cup,7,1,1,0
35,Moroccan Vegetable Quinoa,0.5,Cups,122,4,16,5
36,Breaded Chicken Breast,1,Piece,243,15,11,15
37,Cauliflower,100,Grams,25,2,5,0
38,Salmon,100,Grams,119,40,0,27
39,Oats,1,Cup,158,6,27,3
40,Wild Rice,100,Grams,100,4,21,1
41,Brussel Sprouts,1,Cup,38,3,8,1
42,Chicken Fajita,1,Cup,267,13,20,15
43,Smoked Pull Chicken,4,Oz,200,25,4,9
44,Shrimp,100,Grams,100,24,0,1
45,Vegetable Fried Rice,1,Cup,300,11,38,12
46,Santa Fe Blend Vegetables,0.5,Cups,52,2,9,0
47,Corn,0.5,Cups,74,2,18,1
48,Scambled Eggs,100,Grams,148,10,2,11
49,Chicken Piccata,1,Piece,337,37,8,18
50,Quinoa and Black Beans,0.5,Cups,157,7,28,4
51,Creole Jambalaya,1,Cup,393,26,22,21
52,Egg Fried Rice,1,Cup,228,7,43,3
53,Pistachios,1,Cup,269,21,13,18
54,Apple,100,Grams,52,1,14,1
55,Bagel,1,Piece,245,8,48,2
56,Banana,100,Grams,89,1,23,1
57,Beer,1,fl oz,13,0,1,0
58,White Bread,1,Slice,128,4,23,2
59,White Pita Bread,1,Piece,165,6,27,2
60,Brown Bread,1,Slice,73,3,14,1
61,Raisin Bread,1,Slice,88,3,17,2
62,Butter,1,tbsp,102,0,0,12
63,Carrots,1,Cup,45,1,11,0
64,Whey Protein (MyProtein),1,Scoop,100,20,1,1
65,Cheddar Cheese,1,Slice,113,7,1,9
66,"Chicken Breast (Skinless, Boneless)",4,Oz,120,23,0,3
67,Chili with Beans,1,Cup,260,14,32,8
68,Coffee,1,Cup,1,0,0,0
69,Cola,100,ml,38,0,10,0
70,Egg,1,Piece,70,6,1,5
71,Graham Cracker,1,Piece,60,1,11,2
72,Granola Bar,1,Bar,132,3,18,6
73,Hot Dog,1,Serving,151,5,3,13
74,Ice Cream Vanilla,0.5,Cups,137,3,29,7
75,Jelly Doughnut,1,Oz,96,2,11,5
76,Ketchup,1,tbsp,19,1,5,0